105.504699934	33.0877413312	-310
105.4686917	33.0544031907	-305
105.432710729	33.0210547126	-300
105.396756974	32.9876959179	-295
105.360830388	32.9543268276	-290
105.324930925	32.9209474624	-285
105.289058537	32.8875578433	-280
105.253213179	32.8541579912	-275
105.217394803	32.8207479266	-270
105.181603363	32.7873276705	-265
105.145838813	32.7538972435	-260
105.110101105	32.7204566662	-255
105.074390194	32.6870059593	-250
105.038706034	32.6535451433	-245
105.003048577	32.6200742389	-240
104.967417778	32.5865932664	-235
104.93181359	32.5531022464	-230
104.896235968	32.5196011993	-225
104.860684865	32.4860901455	-220
104.825160235	32.4525691053	-215
104.789662032	32.4190380991	-210
104.75419021	32.3854971471	-205
104.718744724	32.3519462696	-200
104.683325528	32.3183854867	-195
104.647932575	32.2848148186	-190
104.61256582	32.2512342856	-185
104.577225218	32.2176439075	-180
104.541910722	32.1840437046	-175
104.506622288	32.1504336968	-170
104.471359869	32.116813904	-165
104.43612342	32.0831843463	-160
104.400912896	32.0495450435	-155
104.365728252	32.0158960156	-150
104.330569441	31.9822372822	-145
104.29543642	31.9485688633	-140
104.260329142	31.9148907785	-135
104.225247563	31.8812030476	-130
104.190191637	31.8475056903	-125
104.155161319	31.8137987262	-120
104.120156565	31.7800821749	-115
104.085177329	31.7463560561	-110
104.050223567	31.7126203891	-105
104.015295234	31.6788751936	-100
103.980392284	31.6451204891	-95
103.945514674	31.6113562948	-90
103.910662358	31.5775826303	-85
103.875835291	31.5437995148	-80
103.841033431	31.5100069678	-75
103.806256731	31.4762050084	-70
103.771505147	31.442393656	-65
103.736778635	31.4085729297	-60
103.70207715	31.3747428488	-55
103.667400649	31.3409034323	-50
103.632749087	31.3070546994	-45
103.598122419	31.2731966692	-40
103.563520602	31.2393293606	-35
103.528943592	31.2054527928	-30
103.494391344	31.1715669846	-25
103.459863814	31.137671955	-20
103.425360958	31.1037677229	-15
103.390882733	31.0698543071	-10
103.356429095	31.0359317266	-5
103.322	31.002	0
103.287595404	30.9680591462	5
103.253215263	30.9341091838	10
103.218859534	30.9001501316	15
103.184528174	30.8661820081	20
103.150221138	30.8322048322	25
103.115938383	30.7982186222	30
103.081679866	30.7642233968	35
